i	O
cannot	O
remember	O
the	O
name	O
of	O
the	O
actor	O
in	O
pretty	B-movie.name
women	I-movie.name

the	O
movie	O
mr	B-movie.name
and	I-movie.name
mrs	I-movie.name
smith	I-movie.name
reported	O
making	O
how	O
much	O
money	O

revenue	O
for	O
ms.	B-movie.name
congeniality	I-movie.name

what	O
video	O
clips	O
have	O
will	B-actor.name
ferrell	I-actor.name

there	O
are	O
several	O
g	B-rating.name
movies	O

watch	O
movies	O
in	O
german	B-movie.language
language	I-movie.language

what	O
are	O
some	O
movies	O
like	O
the	B-movie.name
campaign	I-movie.name

i	O
need	O
to	O
know	O
the	O
names	O
of	O
all	O
the	O
movies	O
produced	O
by	O
william	B-producer.name
packer	I-producer.name

show	O
me	O
detailed	O
information	O
about	O
the	O
movie	O
in	B-movie.name
july	I-movie.name

frank	B-director.name
capra	I-director.name
movies	O

director	O
for	O
anne	B-movie.name
of	I-movie.name
green	I-movie.name
gables	I-movie.name

i	O
want	O
to	O
look	O
for	O
information	O
about	O
paramount	B-producer.name
studios	I-producer.name

show	O
me	O
a	O
list	O
of	O
movies	O
with	O
r	B-rating.name
rating	O

find	O
movies	O
about	O
vietnam	B-movie.subject

alberts	B-person.name
family	O

get	O
john	B-actor.name
cusack	I-actor.name
movies	O
for	O
me	O

should	O
i	O
let	O
my	O
kid	O
see	O
a	O
pg	B-rating.name
thirteen	I-rating.name
movie	O
alone	O

find	O
revenue	O
from	O
my	B-movie.name
boys	I-movie.name

when	O
will	O
the	O
movie	O
gone	B-movie.name
with	I-movie.name
the	I-movie.name
wind	I-movie.name
be	O
released	O

look	O
up	O
french	B-country.name
movies	O

who	O
was	O
the	O
star	O
in	O
hitch	B-movie.name

find	O
the	O
director	O
of	O
big	B-movie.name

eva	B-actor.name
mendes	I-actor.name
films	O

how	O
many	O
stars	O
does	O
star	B-movie.name
wars	I-movie.name
new	I-movie.name
hope	I-movie.name
have	O

show	O
me	O
the	O
rating	O
for	O
cabin	I-movie.name
in	I-movie.name
the	I-movie.name
woods	I-movie.name

who	O
is	O
andrew	B-person.name
stanton	I-person.name

who	O
was	O
the	O
director	O
of	O
the	O
movie	O
the	B-movie.name
mechanic	I-movie.name

find	O
japanese	B-country.name
movies	O

I	O
'd	O
like	O
to	O
know	O
some	O
spanish	B-movie.language
movies	O

what	O
is	O
full	O
name	O
of	O
star	B-movie.name
wars	I-movie.name
iv	I-movie.name

rocky	B-movie.name
2	O
actor	O

director	O
of	O
the	B-movie.name
incredibles	I-movie.name

what	O
genre	O
is	O
the	O
movie	O
lawless	B-movie.name

get	O
me	O
a	O
list	O
of	O
movies	O
that	O
ron	B-producer.name
howard	I-producer.name
produce	O

who	O
directed	O
finding	B-movie.name
nemo	I-movie.name

get	O
me	O
info	O
on	O
the	O
budget	O
for	O
avatar	B-movie.name

when	O
was	O
while	B-movie.name
you	I-movie.name
were	I-movie.name
sleeping	I-movie.name
released	O

can	O
you	O
please	O
open	O
page	O
about	O
in	B-movie.name
july	I-movie.name
movie	O

i	O
would	O
like	O
to	O
look	O
up	O
the	O
budget	O
of	O
freedom	B-movie.name
writers	I-movie.name

house	O
on	O
mend	O
street	O

list	O
of	O
barry	B-director.name
sonnenfeld	I-director.name
films	O

i	O
am	O
interested	O
in	O
what	O
cabin	B-movie.name
in	I-movie.name
the	I-movie.name
woods	I-movie.name
made	O
in	O
revenue	O

locate	O
all	O
movies	O
produced	O
by	O
george	B-producer.name
lucas	I-producer.name

list	O
movies	O
by	O
searchlight	B-producer.name
films	I-producer.name

show	O
me	O
a	O
popular	O
robert	B-director.name
wise	I-director.name
movie	O

can	O
you	O
give	O
me	O
names	O
of	O
some	O
movies	O
having	O
pg	B-rating.name
thirteen	I-rating.name
rating	O

can	O
i	O
see	O
the	O
cast	O
and	O
crew	O
for	O
the	O
movie	O
in	B-movie.name
july	I-movie.name

show	O
all	O
movies	O
made	O
in	O
twenty	B-movie.release_date
eleven	I-movie.release_date
with	O
g	B-rating.name
rating	O

what	O
recently	O
released	O
movies	O
are	O
rated	O
r	B-rating.name

i	O
want	O
to	O
know	O
about	O
life	B-movie.name
is	I-movie.name
beautiful	I-movie.name

show	O
me	O
pixar	B-producer.name
films	O

who	O
is	O
in	O
picture	O
five	O

films	O
by	O
mel	B-director.name
gibson	I-director.name

show	O
me	O
movies	O
that	O
talk	O
about	O
healthy	B-movie.subject
eating	I-movie.subject

find	O
me	O
dreamworks	B-producer.name
films	O

i	O
would	O
like	O
to	O
look	O
for	O
movies	O
about	O
god	B-movie.subject

search	O
twentieth	B-producer.name
century	I-producer.name
